"Variable","Tipo","Descripción"
"hotel","Categórico","Tipo de hotel (Resort Hotel, City Hotel)"
"is_canceled","Categórico (0/1)","Si la reserva fue cancelada (1) o no (0)"
"lead_time","Numérico","Días entre la reserva y la llegada"
"arrival_date_year","Numérico","Año de llegada"
"arrival_date_month","Categórico","Mes de llegada"
"arrival_date_week_number","Numérico","Número de semana del año"
"arrival_date_day_of_month","Numérico","Día del mes de llegada"
"stays_in_weekend_nights","Numérico","Noches de fin de semana"
"stays_in_week_nights","Numérico","Noches entre semana"
"adults","Numérico","Número de adultos"
"children","Numérico","Número de niños"
"babies","Numérico","Número de bebés"
"meal","Categórico","Tipo de comida (BB, HB, FB, SC)"
"country","Categórico","País de origen"
"market_segment","Categórico","Segmento de mercado"
"distribution_channel","Categórico","Canal de distribución"
"is_repeated_guest","Categórico (0/1)","Es huésped recurrente (1) o no (0)"
"previous_cancellations","Numérico","Cancelaciones previas"
"previous_bookings_not_canceled","Numérico","Reservas previas no canceladas"
"reserved_room_type","Categórico","Tipo de habitación reservada"
"assigned_room_type","Categórico","Tipo de habitación asignada"
"booking_changes","Numérico","Cambios en la reserva"
"deposit_type","Categórico","Tipo de depósito"
"agent","Categórico","ID de agencia de viajes"
"company","Categórico","ID de empresa"
"days_in_waiting_list","Numérico","Días en lista de espera"
"customer_type","Categórico","Tipo de cliente"
"adr","Numérico","Tarifa diaria promedio (ADR)"
"required_car_parking_spaces","Numérico","Espacios de parking requeridos"
"total_of_special_requests","Numérico","Solicitudes especiales"
"reservation_status","Categórico","Estado de la reserva"
"reservation_status_date","Fecha","Fecha del último estado de reserva"
